Graph,Algorithm,NMI
A_000.npy,Soft_Spectral_Clustering,0.8383371824480369
A_000.npy,Louvain,0.6156382712965276
A_000.npy,Leiden,0.6156382712965276
A_000.npy,deepLPBM,0.14937629937629937
A_000.npy,SBM,0.7677725118483413
A_000.npy,Spectral_Clustering,0.8383371824480369
A_000.npy,Soft_Spectral_Clustering,0.8383371824480369
A_000.npy,Louvain,0.6156382712965276
A_000.npy,Leiden,0.6156382712965276
A_000.npy,deepLPBM,0.14937629937629937
A_000.npy,SBM,0.0
A_000.npy,Spectral_Clustering,0.8383371824480369
A_000.npy,Soft_Spectral_Clustering,0.8383371824480369
A_000.npy,Louvain,0.6156382712965276
A_000.npy,Leiden,0.6156382712965276
A_000.npy,deepLPBM,0.14937629937629937
A_000.npy,SBM,0.0
A_000.npy,Spectral_Clustering,0.8383371824480369
A_000.npy,Soft_Spectral_Clustering,0.8383371824480369
A_000.npy,Louvain,0.6156382712965276
A_000.npy,Leiden,0.6156382712965276
A_000.npy,deepLPBM,0.14937629937629937
A_000.npy,SBM,0.7051909892262488
A_000.npy,Spectral_Clustering,0.8383371824480369
A_000.npy,Soft_Spectral_Clustering,0.8383371824480369
A_000.npy,Louvain,0.6156382712965276
A_000.npy,Leiden,0.6156382712965276
A_000.npy,deepLPBM,0.14937629937629937
A_000.npy,SBM,0.46153846153846156
A_000.npy,Spectral_Clustering,0.8383371824480369
A_000.npy,Soft_Spectral_Clustering,0.8383371824480369
A_000.npy,Louvain,0.6156382712965276
A_000.npy,Leiden,0.6156382712965276
A_000.npy,deepLPBM,0.14937629937629937
A_000.npy,SBM,0.7677725118483413
A_000.npy,Spectral_Clustering,0.8383371824480369
A_000.npy,Soft_Spectral_Clustering,0.8383371824480369
A_000.npy,Louvain,0.6156382712965276
A_000.npy,Leiden,0.6156382712965276
A_000.npy,deepLPBM,0.14937629937629937
A_000.npy,SBM,0.7677725118483413
A_000.npy,Spectral_Clustering,0.8383371824480369
A_000.npy,Soft_Spectral_Clustering,0.8383371824480369
A_000.npy,Louvain,0.6156382712965276
A_000.npy,Leiden,0.6156382712965276
A_000.npy,deepLPBM,0.14937629937629937
A_000.npy,SBM,0.0
A_000.npy,Spectral_Clustering,0.8383371824480369
A_000.npy,Soft_Spectral_Clustering,0.8383371824480369
A_000.npy,Louvain,0.6156382712965276
A_000.npy,Leiden,0.6156382712965276
A_000.npy,deepLPBM,0.14937629937629937
A_000.npy,SBM,0.46153846153846156
A_000.npy,Spectral_Clustering,0.8383371824480369
A_000.npy,Soft_Spectral_Clustering,0.8383371824480369
A_000.npy,Louvain,0.6156382712965276
A_000.npy,Leiden,0.6156382712965276
A_000.npy,deepLPBM,0.14937629937629937
